State,Year,Group_Name,Subgroup_Name,Cases_Reported,Female_Total,Total_Cases,Male_Total,Gender_Gap
Andhra Pradesh,2001,Kidnap - For Adoption,01. For Adoption,8,5,8,3,2
Arunachal Pradesh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Bihar,2001,Kidnap - For Adoption,01. For Adoption,18,0,18,18,-18
Chandigarh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Chhattisgarh,2001,Kidnap - For Adoption,01. For Adoption,6,6,6,0,6
Delhi,2001,Kidnap - For Adoption,01. For Adoption,5,1,7,6,-5
Gujarat,2001,Kidnap - For Adoption,01. For Adoption,3,3,3,0,3
Haryana,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Himachal Pradesh,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jharkhand,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Karnataka,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Maharashtra,2001,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Meghalaya,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Mizoram,2001,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Nagaland,2001,Kidnap - For Adoption,01. For Adoption,3,1,3,2,-1
Odisha,2001,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Punjab,2001,Kidnap - For Adoption,01. For Adoption,3,1,3,2,-1
Uttar Pradesh,2001,Kidnap - For Adoption,01. For Adoption,6,1,6,5,-4
West Bengal,2001,Kidnap - For Adoption,01. For Adoption,3,2,3,1,1
Andhra Pradesh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Bihar,2002,Kidnap - For Adoption,01. For Adoption,3,1,3,2,-1
Chhattisgarh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Daman & Diu,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Delhi,2002,Kidnap - For Adoption,01. For Adoption,6,5,6,1,4
Gujarat,2002,Kidnap - For Adoption,01. For Adoption,2,1,2,1,0
Haryana,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Himachal Pradesh,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jammu & Kashmir,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Karnataka,2002,Kidnap - For Adoption,01. For Adoption,2,1,2,1,0
Madhya Pradesh,2002,Kidnap - For Adoption,01. For Adoption,6,2,6,4,-2
Maharashtra,2002,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Meghalaya,2002,Kidnap - For Adoption,01. For Adoption,4,0,4,4,-4
Nagaland,2002,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2002,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Punjab,2002,Kidnap - For Adoption,01. For Adoption,3,3,3,0,3
Tamil Nadu,2002,Kidnap - For Adoption,01. For Adoption,36,36,36,0,36
Uttar Pradesh,2002,Kidnap - For Adoption,01. For Adoption,8,1,8,7,-6
West Bengal,2002,Kidnap - For Adoption,01. For Adoption,11,11,11,0,11
Andhra Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Arunachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2003,Kidnap - For Adoption,01. For Adoption,4,4,4,0,4
Bihar,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Chandigarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Chhattisgarh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Daman & Diu,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Delhi,2003,Kidnap - For Adoption,01. For Adoption,8,5,8,3,2
Gujarat,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Haryana,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Himachal Pradesh,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jammu & Kashmir,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jharkhand,2003,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Karnataka,2003,Kidnap - For Adoption,01. For Adoption,2,0,2,2,-2
Madhya Pradesh,2003,Kidnap - For Adoption,01. For Adoption,2,1,2,1,0
Maharashtra,2003,Kidnap - For Adoption,01. For Adoption,7,7,7,0,7
Meghalaya,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Nagaland,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Punjab,2003,Kidnap - For Adoption,01. For Adoption,7,3,7,4,-1
Tamil Nadu,2003,Kidnap - For Adoption,01. For Adoption,21,10,21,11,-1
Uttar Pradesh,2003,Kidnap - For Adoption,01. For Adoption,8,3,8,5,-2
West Bengal,2003,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Andhra Pradesh,2004,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Arunachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Bihar,2004,Kidnap - For Adoption,01. For Adoption,8,3,8,5,-2
Chhattisgarh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Gujarat,2004,Kidnap - For Adoption,01. For Adoption,1,1,1,0,1
Himachal Pradesh,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Karnataka,2004,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Madhya Pradesh,2004,Kidnap - For Adoption,01. For Adoption,2,1,2,1,0
Maharashtra,2004,Kidnap - For Adoption,01. For Adoption,3,1,3,2,-1
Manipur,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Meghalaya,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Mizoram,2004,Kidnap - For Adoption,01. For Adoption,5,0,5,5,-5
Nagaland,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2004,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Punjab,2004,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Tamil Nadu,2004,Kidnap - For Adoption,01. For Adoption,5,5,5,0,5
Uttar Pradesh,2004,Kidnap - For Adoption,01. For Adoption,6,0,6,6,-6
West Bengal,2004,Kidnap - For Adoption,01. For Adoption,18,10,18,8,2
Andhra Pradesh,2005,Kidnap - For Adoption,01. For Adoption,3,3,3,0,3
Arunachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Assam,2005,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Bihar,2005,Kidnap - For Adoption,01. For Adoption,26,3,26,23,-20
Chandigarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Chhattisgarh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Delhi,2005,Kidnap - For Adoption,01. For Adoption,2,1,2,1,0
Gujarat,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Haryana,2005,Kidnap - For Adoption,01. For Adoption,17,11,18,7,4
Himachal Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jammu & Kashmir,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jharkhand,2005,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Karnataka,2005,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Madhya Pradesh,2005,Kidnap - For Adoption,01. For Adoption,6,6,6,0,6
Maharashtra,2005,Kidnap - For Adoption,01. For Adoption,12,8,12,4,4
Manipur,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Meghalaya,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Mizoram,2005,Kidnap - For Adoption,01. For Adoption,3,0,3,3,-3
Nagaland,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Punjab,2005,Kidnap - For Adoption,01. For Adoption,2,0,2,2,-2
Tamil Nadu,2005,Kidnap - For Adoption,01. For Adoption,33,24,33,9,15
Uttar Pradesh,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
West Bengal,2005,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Andhra Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Arunachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Chhattisgarh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Delhi,2006,Kidnap - For Adoption,01. For Adoption,4,3,4,1,2
Gujarat,2006,Kidnap - For Adoption,01. For Adoption,2,0,2,2,-2
Himachal Pradesh,2006,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Jammu & Kashmir,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jharkhand,2006,Kidnap - For Adoption,01. For Adoption,2,0,2,2,-2
Karnataka,2006,Kidnap - For Adoption,01. For Adoption,11,0,11,11,-11
Kerala,2006,Kidnap - For Adoption,01. For Adoption,3,1,3,2,-1
Madhya Pradesh,2006,Kidnap - For Adoption,01. For Adoption,4,3,4,1,2
Maharashtra,2006,Kidnap - For Adoption,01. For Adoption,13,3,13,10,-7
Manipur,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Meghalaya,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Mizoram,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Nagaland,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2006,Kidnap - For Adoption,01. For Adoption,4,4,4,0,4
Tamil Nadu,2006,Kidnap - For Adoption,01. For Adoption,12,10,12,2,8
Uttar Pradesh,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
West Bengal,2006,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Andhra Pradesh,2007,Kidnap - For Adoption,01. For Adoption,5,2,5,3,-1
Arunachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Assam,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Bihar,2007,Kidnap - For Adoption,01. For Adoption,62,0,62,62,-62
Chhattisgarh,2007,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Gujarat,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Haryana,2007,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Himachal Pradesh,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Jammu & Kashmir,2007,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Karnataka,2007,Kidnap - For Adoption,01. For Adoption,2,2,2,0,2
Madhya Pradesh,2007,Kidnap - For Adoption,01. For Adoption,8,8,8,0,8
Maharashtra,2007,Kidnap - For Adoption,01. For Adoption,1,0,1,1,-1
Manipur,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Meghalaya,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Mizoram,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Nagaland,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Odisha,2007,Kidnap - For Adoption,01. For Adoption,40,37,40,3,34
Tamil Nadu,2007,Kidnap - For Adoption,01. For Adoption,6,6,6,0,6
West Bengal,2007,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
Andhra Pradesh,2008,Kidnap - For Adoption,01. For Adoption,0,0,0,0,0
