State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Andaman & Nicobar Islands,2001,Rape,01. Rape,5,3,0,1,34,3,3,5,39
Andhra Pradesh,2001,Rape,01. Rape,731,769,197,393,1974,871,769,928,2937
Arunachal Pradesh,2001,Rape,01. Rape,1,25,2,18,282,33,25,3,285
Assam,2001,Rape,01. Rape,334,495,101,1045,1964,817,495,435,2409
Bihar,2001,Rape,01. Rape,406,685,155,488,3185,888,685,561,3746
Chandigarh,2001,Rape,01. Rape,9,16,2,1,34,18,16,11,45
Chhattisgarh,2001,Rape,01. Rape,520,976,158,86,3966,959,976,678,4645
Dadra & Nagar Haveli,2001,Rape,01. Rape,0,8,1,1,21,6,8,1,22
Daman & Diu,2001,Rape,01. Rape,3,1,0,0,1,0,1,3,4
Delhi,2001,Rape,01. Rape,80,361,29,197,1651,381,361,109,1760
Goa,2001,Rape,01. Rape,10,14,10,5,47,12,14,20,67
Gujarat,2001,Rape,01. Rape,150,288,26,24,1948,286,288,176,2131
Haryana,2001,Rape,01. Rape,291,341,94,22,636,398,341,385,1022
Himachal Pradesh,2001,Rape,01. Rape,75,110,30,35,389,124,110,105,494
Jammu & Kashmir,2001,Rape,01. Rape,98,147,7,49,570,169,147,105,680
Jharkhand,2001,Rape,01. Rape,236,404,99,185,1034,567,404,335,1369
Karnataka,2001,Rape,01. Rape,154,271,41,99,1132,293,271,195,1335
Kerala,2001,Rape,01. Rape,111,510,32,505,2190,562,510,143,2336
Lakshadweep,2001,Rape,01. Rape,0,1,0,0,1,0,1,0,1
Madhya Pradesh,2001,Rape,01. Rape,2052,2616,589,261,6721,2851,2616,2641,9387
Maharashtra,2001,Rape,01. Rape,727,1289,125,230,9876,1302,1289,852,10745
Manipur,2001,Rape,01. Rape,1,4,0,33,39,20,4,1,40
Meghalaya,2001,Rape,01. Rape,11,21,0,64,236,26,21,11,247
Mizoram,2001,Rape,01. Rape,10,51,32,14,96,52,51,42,138
Nagaland,2001,Rape,01. Rape,2,8,2,19,48,17,8,4,53
Odisha,2001,Rape,01. Rape,408,769,117,268,2354,790,769,525,2879
Puducherry,2001,Rape,01. Rape,0,8,0,4,16,9,8,0,16
Punjab,2001,Rape,01. Rape,171,239,81,75,235,298,239,252,488
Rajasthan,2001,Rape,01. Rape,700,771,266,78,2614,1049,771,966,3593
Sikkim,2001,Rape,01. Rape,2,5,1,3,7,8,5,3,10
Tamil Nadu,2001,Rape,01. Rape,160,397,84,247,1288,423,397,244,1535
Tripura,2001,Rape,01. Rape,38,63,13,67,129,102,63,51,181
Uttar Pradesh,2001,Rape,01. Rape,622,1613,697,192,5616,1958,1613,1319,6950
Uttarakhand,2001,Rape,01. Rape,34,58,30,9,157,74,58,64,223
West Bengal,2001,Rape,01. Rape,517,717,45,777,5081,709,717,562,5643
Andaman & Nicobar Islands,2002,Rape,01. Rape,2,3,1,0,34,2,3,3,37
Andhra Pradesh,2002,Rape,01. Rape,650,881,120,417,2065,1002,881,770,2855
Arunachal Pradesh,2002,Rape,01. Rape,3,32,0,19,311,38,32,3,314
Assam,2002,Rape,01. Rape,247,624,99,1232,2229,970,624,346,2588
Bihar,2002,Rape,01. Rape,383,687,116,599,3373,1040,687,499,3872
Chandigarh,2002,Rape,01. Rape,5,12,1,6,40,18,12,6,46
Chhattisgarh,2002,Rape,01. Rape,1081,986,585,62,3146,992,986,1666,4952
Dadra & Nagar Haveli,2002,Rape,01. Rape,12,3,2,2,10,4,3,14,24
Daman & Diu,2002,Rape,01. Rape,0,0,0,0,0,0,0,0,0
Delhi,2002,Rape,01. Rape,344,388,98,187,1597,403,388,442,2039
Goa,2002,Rape,01. Rape,6,8,8,7,41,12,8,14,55
Gujarat,2002,Rape,01. Rape,184,244,39,29,1956,267,244,223,2192
Haryana,2002,Rape,01. Rape,288,316,92,10,571,361,316,380,952
Himachal Pradesh,2002,Rape,01. Rape,86,112,22,45,392,137,112,108,501
Jammu & Kashmir,2002,Rape,01. Rape,125,156,11,48,587,192,156,136,726
Jharkhand,2002,Rape,01. Rape,438,589,132,342,2277,797,589,570,2856
Karnataka,2002,Rape,01. Rape,190,277,35,95,1183,292,277,225,1409
Kerala,2002,Rape,01. Rape,141,445,29,532,2458,499,445,170,2635
Lakshadweep,2002,Rape,01. Rape,0,0,1,1,0,1,0,1,1
Madhya Pradesh,2002,Rape,01. Rape,1837,2804,548,193,7106,2891,2804,2385,9523
Maharashtra,2002,Rape,01. Rape,1011,1288,163,245,9974,1352,1288,1174,11164
Manipur,2002,Rape,01. Rape,0,7,0,30,46,14,7,0,46
Meghalaya,2002,Rape,01. Rape,2,17,0,78,250,38,17,2,253
Mizoram,2002,Rape,01. Rape,10,53,22,32,106,76,53,32,138
